closing_price,date,highest_price,lowest_price,open_price,utc_timestamp,volume
3306.27,2021-09-14 07:50:00,3307.99,3303.25,3305.99,1631605800000,548.5083
3311.86,2021-09-14 07:55:00,3320.91,3305.6,3306.37,1631606100000,839.6977
3313.03,2021-09-14 08:00:00,3321.59,3312.15,3312.16,1631606400000,1175.3328
3315.13,2021-09-14 08:05:00,3322.45,3311.86,3313.27,1631606700000,1570.5266
3316.25,2021-09-14 08:10:00,3316.58,3310.26,3315.13,1631607000000,666.1549
3312.89,2021-09-14 08:15:00,3321.02,3311.38,3316.4,1631607300000,750.6768
3312.78,2021-09-14 08:20:00,3314.99,3311.92,3312.9,1631607600000,492.6283
3320.45,2021-09-14 08:25:00,3321.17,3312.02,3312.62,1631607900000,705.1468
3327.12,2021-09-14 08:30:00,3328.96,3319.93,3320.45,1631608200000,1156.3149
3335.82,2021-09-14 08:35:00,3337.02,3325.41,3327.12,1631608500000,2239.6221
3342.0,2021-09-14 08:40:00,3351.04,3335.47,3335.8,1631608800000,6041.0862
3342.83,2021-09-14 08:45:00,3347.29,3339.0,3342.0,1631609100000,1481.7214
3351.35,2021-09-14 08:50:00,3358.03,3342.83,3342.83,1631609400000,1946.8008
3343.7,2021-09-14 08:55:00,3353.01,3343.25,3351.81,1631609700000,1020.2651
3349.88,2021-09-14 09:00:00,3363.01,3343.7,3343.7,1631610000000,2927.8871
3342.11,2021-09-14 09:05:00,3354.24,3341.11,3349.87,1631610300000,1456.0762
3337.66,2021-09-14 09:10:00,3345.78,3331.42,3342.3,1631610600000,1850.894
3351.63,2021-09-14 09:15:00,3352.5,3337.58,3337.89,1631610900000,1524.5175
3347.28,2021-09-14 09:20:00,3353.88,3344.37,3351.64,1631611200000,2482.413
3337.6,2021-09-14 09:25:00,3347.28,3335.26,3347.28,1631611500000,1283.6641
3328.94,2021-09-14 09:30:00,3341.85,3327.05,3337.48,1631611800000,2071.9695
3324.61,2021-09-14 09:35:00,3333.36,3322.72,3328.94,1631612100000,1170.0087
3320.62,2021-09-14 09:40:00,3329.07,3320.02,3324.61,1631612400000,716.2011
3319.66,2021-09-14 09:45:00,3325.68,3317.83,3320.62,1631612700000,1163.3723
3317.31,2021-09-14 09:50:00,3324.81,3317.31,3319.65,1631613000000,629.5248
3324.81,2021-09-14 09:55:00,3325.99,3316.42,3317.3,1631613300000,744.0523
3329.99,2021-09-14 10:00:00,3332.52,3324.81,3324.81,1631613600000,1242.1829
3326.43,2021-09-14 10:05:00,3330.37,3323.37,3329.99,1631613900000,871.4099
3327.57,2021-09-14 10:10:00,3329.13,3326.22,3326.44,1631614200000,611.4491
3333.65,2021-09-14 10:15:00,3334.54,3326.57,3327.43,1631614500000,815.1696
3327.75,2021-09-14 10:20:00,3334.0,3325.01,3333.33,1631614800000,582.4402
3331.74,2021-09-14 10:25:00,3332.13,3323.62,3327.45,1631615100000,752.2665
